Trial No.,Attended Speaker,-67.5 Stimuli,-22.5 Stimuli,22.5 Stimuli,67.5 Stimuli,-135 Stimuli,135 Stimuli,-67.5 Power,-22.5 Power,22.5 Power,67.5 Power,-135 Power,135 Power,SNR,Question,Answer,Option-1,Option-2,Option-3
74,-22.5,781.flac,340.flac,6206.flac,2012.flac,noise_17.flac,noise_442.flac,0.0005620882092994,0.11881313276784,0.0033975209263386,0.0008334315227596,0.0001352809294611,0.0003638026325206,14,"What did Senator Douglas reportedly say in his speech at Columbus, Ohio, as mentioned?","Our fathers, when they framed the government under which we live, understood this.",The Squire was hard at work at Bristol.,Guardiola woke up and looked about the old fashioned room.,Benito and I also wish to speak to you.
75,22.5,1874.flac,7229.flac,7313.flac,4807.flac,noise_754.flac,noise_637.flac,0.0041091362219032,0.001156939221222,0.5351197776978368,0.0011357221294252,1.1466330823410924e-05,7.365600302970657e-05,20,When was Horace Greeley born?,"February 3rd, 1811",In 1861 under the warcloud,During a visit to the lumber camp,On the 18th letter of the alphabet day
76,67.5,2562.flac,920.flac,4837.flac,2498.flac,noise_258.flac,noise_99.flac,0.0026425846467609,0.0008109576929147,0.0037477489858361,0.1784791101668592,3.197096903459169e-05,7.561311654086845e-05,17,How did Jean Valjean push the door?,Gently with the tip of his finger,With great excitement,By driving an elegant carriage,With a veiled hint of suspicion
77,-67.5,3728.flac,8193.flac,2411.flac,4290.flac,noise_491.flac,noise_633.flac,0.7384441681897622,0.0051715568998091,0.0041642875909106,0.0050462529708534,4.467292231856845e-05,4.1247801170296344e-05,19,Where did Marguerite go to study the ring more closely?,Into the garden.,Into the sea.,To the farm.,Into the woods.
78,-22.5,1383.flac,7949.flac,1390.flac,6308.flac,noise_111.flac,noise_681.flac,0.0001167754976311,0.0261228340372691,0.0001573258475555,0.0018535503269328,1.1592330880618344e-05,5.2541959312899657e-05,11,What is the difference between the attitude of a spectator and that of an agent or participant?,"The spectator is indifferent to what is going on, while the agent or participant is bound up with it.","The spectator is emotionally involved, while the agent is indifferent.","The spectator is responsible for the outcome, while the agent is not.","The spectator is actively engaged, while the agent"
79,22.5,829.flac,2473.flac,6032.flac,7335.flac,noise_678.flac,noise_662.flac,0.000112130217258,0.0028336343454022,0.0377261036116147,0.0023291035478061,3.697695225516024e-05,1.394941356847994e-05,11,What significant detail does the narrator recall about their birth?,"The narrator was born a slave, the child of slave parents.",The narrator was born in Avonlea.,The narrator was born with a scholarship.,The narrator was noticed by two young women on a steamer.
80,67.5,30.flac,2127.flac,1473.flac,1734.flac,noise_526.flac,noise_586.flac,0.0032405831006239,0.0040190326792207,0.0037111834964831,0.5920811797272633,0.000153356013286,4.088863690655368e-05,19,What did the neighbors learn about Higgins the next day when they went to pay a call?,He had been in to see Mrs. Butcher before starting on his day's business.,He was hosting an evening party.,He was preparing to be governor for an island.,He was discussing the true and real subject of a controversy.
81,-67.5,7657.flac,93.flac,6993.flac,4064.flac,noise_798.flac,noise_78.flac,0.8988166668400375,0.0026062123889666,0.010702677647459,0.0031886924835484,0.0001421797194518,0.0002117343149943,18,Who was the infant named after?,John Quincy,Oliver,Alfredsson,Alex
82,-22.5,2039.flac,5914.flac,8057.flac,3118.flac,noise_657.flac,noise_340.flac,0.0010867270446382,0.0957157740199667,0.0033373110535845,0.0058448281688906,8.735844944021665e-05,0.0003020797300812,10,What should be used to fill a metal powder flask to reduce bulges?,Indian corn or dry peas,Ancient Egyptian cat mummies,Plantains,Cranky canoe parts
83,22.5,231.flac,115.flac,339.flac,7933.flac,noise_172.flac,noise_192.flac,0.0061634353518408,0.0045727044162806,0.2723871059110058,0.0065884433818069,2.0859317211822295e-05,8.692691761534661e-05,14,"What did the author regret not being able to bring with them in ""Herland"" by Charlotte Perkins Stetson Gilman?",Whole books full of notes,Her favorite novel,A tired and homesick little girl,The journey from Montreal
84,67.5,1456.flac,1392.flac,8786.flac,288.flac,noise_529.flac,noise_388.flac,0.0064972798531642,0.0011999987630251,0.0048188152473322,0.1249689459759875,0.0001492430874845,3.84857258759439e-05,12,What did Ruby and Diamond achieve by the end of the month?,Ruby had got respectably thin and Diamond respectively stout.,Ruby had signified her willingness to accept a hand in marriage.,Ruby and Diamond joined the archery club.,Ruby and Diamond inspired a more than ordinary passion.
85,-67.5,4856.flac,1903.flac,1776.flac,8820.flac,noise_322.flac,noise_451.flac,0.0939543450452366,0.0031127106740352,0.0042232756049508,0.0029110665612698,8.703682659155068e-05,0.0002416799116336,11,What peculiar characteristic did the observer notice about the man's eyebrows?,They were stiff and bristly.,They were thin and arched.,They were completely missing.,They were thick and bushy.
86,-22.5,8113.flac,5092.flac,8474.flac,3864.flac,noise_163.flac,noise_515.flac,0.0042634205452864,0.0903177927222663,0.0019957334120622,0.0041047620057147,2.6126883861919245e-05,0.0010475749840882,11,Who accompanied the narrator on the Grand Mission Excursion to the Chill Cat Country?,"Mr. Vanderbilt, his wife, and a friend from Oregon",Ali Baba and his brother Kasim,A wealthy merchant and his wife,A group of ornithologists on a cotton plantation
87,22.5,5909.flac,7314.flac,671.flac,954.flac,noise_758.flac,noise_778.flac,0.0035955792202148,0.0028617005124843,0.1638329746857825,0.0006890480436947,3.1639737903606145e-05,3.338872894916373e-05,14,Which part of the proposed government system is described as having been attended with the greatest difficulty in its arrangement?,The executive department,The judicial department,The legislative department,The defense department
88,67.5,1290.flac,5519.flac,2971.flac,5123.flac,noise_554.flac,noise_726.flac,0.0019415418658735,0.0055410644810685,0.0043030748240281,0.4860782453878522,0.0001053867035467,0.0001158279706976,18,What was Colonel Selby's purpose for coming to Washington?,To get paid for some cotton that was destroyed during the war.,To attend a concert.,To witness a legal tribunal.,To invent a flying machine.
89,-67.5,1754.flac,4044.flac,1349.flac,8494.flac,noise_776.flac,noise_741.flac,0.2537053560162191,0.0015164546056087,0.0022601316538755,0.0040059411223686,5.7943411763214194e-05,4.877422577701509e-05,16,What did Prince encounter as he rode downhill towards the battlefield?,"Wounded men, one with a bleeding head and no cap being dragged by two soldiers.",A young monk paddling down the Nile.,A porter waiting for employment in Baghdad.,A city population heading towards the bay on Christmas morning.
90,-22.5,7754.flac,639.flac,2045.flac,6188.flac,noise_0.flac,noise_47.flac,0.0019457141706506,0.3816846780635347,0.0038313266251973,0.0021429225568116,5.256192646144579e-05,2.2483370825648303e-05,18,What did the narrator encounter when stepping into the slumgullion stage?,A dark night and a lonely road,Two typical good-looking Englishmen,An Administration protest by Dudley field Malone,A safe retreat on the shores of England
91,22.5,7061.flac,2628.flac,3119.flac,3001.flac,noise_38.flac,noise_108.flac,0.0022436490153137,0.0040053674719432,0.4042788447722052,0.0040323661921371,1.074469316129883e-05,0.0001476267089368,18,What did the two elder brothers wish for in the story?,To set out to see the world,A basket of fish,A log cabin,Three eyes
92,67.5,464.flac,1913.flac,6924.flac,4967.flac,noise_781.flac,noise_447.flac,0.0015917053791907,0.0029896608507163,0.0029838930438253,0.2996063122738296,2.93724706377058e-05,0.0001377013468668,18,What did Mary claim she never did in her life?,Embrace her lover in public,Watch the funeral procession,Sit alone in her room after supper,Teach children the alphabet
93,-67.5,204.flac,3105.flac,4433.flac,1061.flac,noise_148.flac,noise_495.flac,0.140384825930209,0.008894162392397,0.0009150529543578,0.0005239606248758,2.1766109549207618e-05,0.0003065605591555,19,What did the narrator see upon reaching the top of the hill?,A flag upon the castle and ships moving or lying anchored.,A good size cow on a field.,A tea table conversation.,Eric boarding at the Williamson place.
94,-22.5,2790.flac,724.flac,1851.flac,4519.flac,noise_652.flac,noise_406.flac,0.0014653484200845,0.0853077882242454,0.0012381934337434,0.003934154203926,7.744543050648645e-06,0.0002024653714247,12,What did the discoverer find difficult to do initially due to the light?,See anything,Eat and drink,Peel and core apples,Stay with the moon
95,22.5,2774.flac,1509.flac,1316.flac,2010.flac,noise_489.flac,noise_216.flac,0.0032587084193946,0.0022993346526403,0.2253787513652809,0.0017478699644775,6.61318969350153e-05,3.708330608011844e-05,16,Who was the candidate proposed by the enemies of the House of Bourbon for the archbishopric in 1688?,The Young Prince Clemente of Bavaria,Master Von Lewin of Amsterdam,Edison,Gandhi
96,67.5,8776.flac,16.flac,8410.flac,2240.flac,noise_397.flac,noise_506.flac,0.0013863173075059,0.0012960981048216,0.0039593481243782,0.048641233735719,4.634444892484074e-05,0.0003402945057605,12,Why will men be perfectly free in the ideal democratic state?,Because they will all be entirely equal.,Because dreams are the removal of sleep disturbing psychic stimuli.,Because Diana appeared soon after breakfast with a basket of flowers.,Because Henry Dunbar sat by the fire in comfort and elegance.
97,-67.5,6499.flac,2652.flac,2882.flac,9023.flac,noise_422.flac,noise_135.flac,0.0889868366035904,0.0059803177350957,0.0013142927235322,0.0072899806853189,0.0001408764626171,0.0001535337888907,10,What is one argument made against the practice of confession and absolution in Catholic countries?,It is argued that confession and easy absolution lead to an increase in crime and immorality.,"Women disliked smoking by men, as implied by a story about Sir Walter Raleigh.",The feline race is discussed as faithless and only kept through necessity.,A mournful farewell is described between two people parting
98,-22.5,3546.flac,3825.flac,6620.flac,3792.flac,noise_612.flac,noise_643.flac,0.0011980863877513,0.3631944091913965,0.0026003884250181,0.0064514783007073,6.373476423323155e-05,7.429594521333153e-06,16,What did the narrator decide to do with the magic watch as an experiment in the little town?,Wait till the little scene was over and then to Encore it.,Send Georgie to a private school.,Collect a list of mental qualities for personal merit.,Leave the yellow mule with the red fox.
99,22.5,451.flac,2638.flac,6395.flac,1513.flac,noise_601.flac,noise_768.flac,0.0001775647389139,0.0038252922934809,0.4222820731671527,0.00487203347233,2.602417310893846e-05,0.0001939395261676,20,What extraordinary claim is made about impersonation in the 19th century?,That 30 or more individuals could convince people they were a prince.,That a dead person might be impersonated by a living being.,That people could eat pie and cold fried pork before bed with impunity.,That Socrates displayed irony in his dialogues with Ion.
100,67.5,4434.flac,2688.flac,581.flac,3537.flac,noise_443.flac,noise_574.flac,0.0028801593371259,0.002032390746969,0.0003955919397238,0.051077958754516,7.890941730778044e-05,0.0001163363740488,10,What is one purpose of dress?,To put one's pecuniary standing in evidence.,To conserve large game in Maine.,To distinguish between different types of roses.,To gain an advantage in a hand-to-hand battle.
