Trial No.,Attended Speaker,Device-1,Device-2,Device-3,Question,Answer,Option-1,Option-2,Option-3,SNR,Device-1 Left Power,Device-1 Right Power,Device-2 Left Power,Device-2 Right Power,Device-3 Left Power,Device-3 Right Power
81,1,7657_93.flac,6993_4064.flac,noise_798_78.flac,Who was the infant named after?,John Quincy,Oliver,Alfredsson,Alex,10,0.14245284165453600,0.0026062123889666200,0.01070267764745900,0.003188692483548460,0.0001421797194518150,0.00021173431499434300
82,2,2039_5914.flac,8057_3118.flac,noise_657_340.flac,What should be used to fill a metal powder flask to reduce bulges?,Indian corn or dry peas,Ancient Egyptian cat mummies,Plantains,Cranky canoe parts,7,0.0010867270446382500,0.047971523995560200,0.0033373110535845600,0.005844828168890670,8.73584494402167E-05,0.00030207973008121700
83,3,231_115.flac,339_7933.flac,noise_172_192.flac,"What did the author regret not being able to bring with them in ""Herland"" by Charlotte Perkins Stetson Gilman?",Whole books full of notes,Her favorite novel,A tired and homesick little girl,The journey from Montreal,10,0.006163435351840840,0.004572704416280610,0.10843926002948600,0.006588443381806910,2.08593172118223E-05,8.69269176153466E-05
84,4,1456_1392.flac,8786_288.flac,noise_529_388.flac,What did Ruby and Diamond achieve by the end of the month?,Ruby had got respectably thin and Diamond respectively stout.,Ruby had signified her willingness to accept a hand in marriage.,Ruby and Diamond joined the archery club.,Ruby and Diamond inspired a more than ordinary passion.,15,0.006497279853164220,0.0011999987630251200,0.004818815247332290,0.2493458284472700,0.0001492430874845010,3.84857258759439E-05
85,1,4856_1903.flac,1776_8820.flac,noise_322_451.flac,What peculiar characteristic did the observer notice about the man's eyebrows?,They were stiff and bristly.,They were thin and arched.,They were completely missing.,They were thick and bushy.,13,0.14890760186433800,0.0031127106740352900,0.004223275604950810,0.002911066561269880,8.70368265915507E-05,0.00024167991163364300
86,2,8113_5092.flac,8474_3864.flac,noise_163_515.flac,Who accompanied the narrator on the Grand Mission Excursion to the Chill Cat Country?,"Mr. Vanderbilt, his wife, and a friend from Oregon",Ali Baba and his brother Kasim,A wealthy merchant and his wife,A group of ornithologists on a cotton plantation,14,0.004263420545286500,0.18020768818990800,0.001995733412062210,0.004104762005714780,2.61268838619192E-05,0.0010475749840882300
87,3,5909_7314.flac,671_954.flac,noise_758_778.flac,What has been unfairly criticized?,Executive Department,Judicial Branch,Legislative Branch,Amendment Process,7,0.0035955792202148600,0.002861700512484340,0.03268897603397920,0.0006890480436947350,3.16397379036061E-05,3.33887289491637E-05
88,4,1290_5519.flac,2971_5123.flac,noise_554_726.flac,What was Colonel Selby's purpose for coming to Washington?,To get paid for some cotton that was destroyed during the war.,To attend a concert.,To witness a legal tribunal.,To invent a flying machine.,17,0.0019415418658735400,0.0055410644810685600,0.004303074824028110,0.3861056745968090,0.00010538670354678000,0.00011582797069762200
89,1,1754_4044.flac,1349_8494.flac,noise_776_741.flac,What did Prince encounter as he rode downhill towards the battlefield?,"Wounded men, one with a bleeding head and no cap being dragged by two soldiers.",A young monk paddling down the Nile.,A porter waiting for employment in Baghdad.,A city population heading towards the bay on Christmas morning.,13,0.12715388553819100,0.0015164546056087900,0.002260131653875580,0.004005941122368680,5.79434117632142E-05,4.87742257770151E-05
90,2,7754_639.flac,2045_6188.flac,noise_0_47.flac,What did the narrator encounter when stepping into the slumgullion stage?,A dark night and a lonely road,Two typical good-looking Englishmen,An Administration protest by Dudley field Malone,A safe retreat on the shores of England,15,0.0019457141706506600,0.19129548791657900,0.0038313266251973500,0.002142922556811630,5.25619264614458E-05,2.24833708256483E-05
91,3,7061_2628.flac,3119_3001.flac,noise_38_108.flac,What did the two elder brothers wish for in the story?,To set out to see the world,A basket of fish,A log cabin,Three eyes,8,0.002243649015313710,0.004005367471943220,0.040427884477220500,0.004032366192137120,1.07446931612988E-05,0.00014762670893687800
92,4,464_1913.flac,6924_4967.flac,noise_781_447.flac,What did Mary claim she never did in her life?,Embrace her lover in public,Watch the funeral procession,Sit alone in her room after supper,Teach children the alphabet,14,0.0015917053791907800,0.0029896608507163700,0.0029838930438253300,0.11927542125930200,2.93724706377058E-05,0.0001377013468668640
93,1,204_3105.flac,4433_1061.flac,noise_148_495.flac,What did the narrator see upon reaching the top of the hill?,A flag upon the castle and ships moving or lying anchored.,A good size cow on a field.,A tea table conversation.,Eric boarding at the Williamson place.,10,0.017673402479384100,0.008894162392397020,0.0009150529543578160,0.0005239606248758110,2.17661095492076E-05,0.0003065605591555750
94,2,2790_724.flac,1851_4519.flac,noise_652_406.flac,What did the discoverer find difficult to do initially due to the light?,See anything,Eat and drink,Peel and core apples,Stay with the moon,15,0.0014653484200845300,0.17021141501718300,0.001238193433743440,0.003934154203926060,7.74454305064865E-06,0.0002024653714247200
95,3,2774_1509.flac,1316_2010.flac,noise_489_216.flac,Who was the candidate proposed by the enemies of the House of Bourbon for the archbishopric in 1688?,The Young Prince Clemente of Bavaria,Master Von Lewin of Amsterdam,Edison,Gandhi,12,0.0032587084193946800,0.002299334652640390,0.08972489700891220,0.0017478699644775300,6.61318969350153E-05,3.70833060801184E-05
96,4,8776_16.flac,8410_2240.flac,noise_397_506.flac,Why will men be perfectly free in the ideal democratic state?,Because they will all be entirely equal.,Because dreams are the removal of sleep disturbing psychic stimuli.,Because Diana appeared soon after breakfast with a basket of flowers.,Because Henry Dunbar sat by the fire in comfort and elegance.,12,0.0013863173075059100,0.0012960981048216700,0.003959348124378210,0.048641233735719000,4.63444489248407E-05,0.00034029450576053900
97,1,6499_2652.flac,2882_9023.flac,noise_422_135.flac,What is one argument made against the practice of confession and absolution in Catholic countries?,It is argued that confession and easy absolution lead to an increase in crime and immorality.,"Women disliked smoking by men, as implied by a story about Sir Walter Raleigh.",The feline race is discussed as faithless and only kept through necessity.,A mournful farewell is described between two people parting,13,0.17755208160343700,0.005980317735095740,0.0013142927235322200,0.007289980685318980,0.00014087646261711300,0.00015353378889073300
98,2,3546_3825.flac,6620_3792.flac,noise_612_643.flac,What did the narrator decide to do with the magic watch as an experiment in the little town?,Wait till the little scene was over and then to Encore it.,Send Georgie to a private school.,Collect a list of mental qualities for personal merit.,Leave the yellow mule with the red fox.,12,0.0011980863877513900,0.14459029860403600,0.002600388425018170,0.006451478300707340,6.37347642332316E-05,7.42959452133315E-06
99,3,451_2638.flac,6395_1513.flac,noise_601_768.flac,What extraordinary claim is made about impersonation in the 19th century?,That 30 or more individuals could convince people they were a prince.,That a dead person might be impersonated by a living being.,That people could eat pie and cold fried pork before bed with impunity.,That Socrates displayed irony in his dialogues with Ion.,15,0.00017756473891398200,0.0038252922934809900,0.13353731662660700,0.0048720334723300800,2.60241731089385E-05,0.00019393952616762100
100,4,4434_2688.flac,581_3537.flac,noise_443_574.flac,What is one purpose of dress?,To put one's pecuniary standing in evidence.,To conserve large game in Maine.,To distinguish between different types of roses.,To gain an advantage in a hand-to-hand battle.,5,0.0028801593371259500,0.002032390746969030,0.00039559193972381800,0.01615226878964080,7.89094173077804E-05,0.00011633637404884200
